colony,population_estimate,colony_abbr
Kure Atoll,"4,040",Kure
Midway Atoll,"43,658",Midway
Laysan Island,42012,Laysan
French Frigate Shoals,8518,FFS
Lehua Island,20,
Torishima (Izu Shoto),3120,Torishima
Other Colonies (Japan and U.S.),21994,Other
Total,"123,342",
