pop,lat,lon
Kure,28.3946548,-178.2900835
Laysan,25.7433439,-171.7409182
Tern,23.8697698,-166.2842695
Lehua,22.0219625,-160.0949991
Midway,28.23592,-177.3706997
WhaleSkate,23.867222,-166.230861
Torishima,30.4845141,140.3003546
